2021.05.19 11:22:13.856998
Leap of Faith 1,Blight Resistance 1,3.1.1

2021.05.19 11:45:25.043191
Defense Boost 2,Ice Resistance 1,2.0.0
Evade Window 2,Punishing Draw 1,1.1.0
NormalRapid Up 1,Carving Pro 1,0.0.0
Water Resistance 2,Slugger 2,3.0.0
Speed Sharpening 2,Muck Resistance 1,1.0.0
Reload Speed 3,Critical Element 1,1.0.0
Sleep Resistance 2,Razor Sharp 1,1.0.0
Rapid Morph 1,Ice Attack 1,2.0.0
Ballistics 1,NULL,0.0.0
Blast Attack 2,Tremor Resistance 2,0.0.0
Slugger 1,Hellfire Cloak 1,2.0.0
Paralysis Attack 1,NULL,0.0.0
Carving Pro 1,Paralysis Resistance 2,3.0.0
Tremor Resistance 2,Protective Polish 1,0.0.0
Recoil Down 2,Botanist 2,2.0.0
Latent Power 1,Poison Resistance 2,0.0.0
Master Mounter 1,Heroics 1,0.0.0
Defense Boost 1,Quick Sheath 1,1.1.0
Botanist 1,Fire Resistance 2,2.2.0
Poison Attack 1,Windproof 2,0.0.0
Tremor Resistance 2,Fire Resistance 2,2.2.0
Resuscitate 2,Blight Resistance 1,0.0.0
Diversion 1,Slugger 1,1.1.0
Thunder Attack 1,Rapid Morph 1,1.0.0
Heroics 1,NULL,1.1.0
Stun Resistance 2,Ice Attack 1,2.0.0
Stun Resistance 1,Speed Sharpening 1,0.0.0
Bombardier 1,Spread Up 1,0.0.0
Ice Resistance 1,Partbreaker 1,1.0.0
Fire Attack 1,Fortify 1,1.0.0
Bombardier 1,Defense Boost 1,2.0.0
Bombardier 1,Tremor Resistance 2,2.1.0
Counterstrike 1,Partbreaker 1,1.1.0
Blight Resistance 1,Bombardier 1,3.0.0
Slugger 1,Bludgeoner 1,1.1.0
Fire Resistance 1,Bubbly Dance 2,1.0.0
Speed Sharpening 1,Counterstrike 1,1.1.0
Bombardier 2,Heroics 2,3.0.0
Stun Resistance 1,Masters Touch 1,0.0.0
Recovery Up 1,Windproof 1,1.0.0
Guard Up 1,Poison Attack 2,3.0.0
Fire Resistance 1,Water Resistance 1,2.0.0
Partbreaker 2,Windproof 2,1.0.0
Bludgeoner 1,Stun Resistance 1,0.0.0
Artillery 1,NULL,1.0.0
Agitator 1,NULL,1.0.0
Power Prolonger 1,Fire Attack 1,1.0.0
Reload Speed 1,Fortify 1,3.0.0
WideRange 2,Recoil Down 1,1.0.0
Tremor Resistance 1,Peak Performance 1,0.0.0

2021.05.19 11:55:15.665862
Bludgeoner 1,Recovery Up 1,1.0.0

2021.05.19 12:18:30.296799
Agitator 1,Constitution 1,0.0.0
Thunder Attack 1,WideRange 1,2.1.0
Horn Maestro 1,Recoil Down 1,1.0.0
Bludgeoner 1,Ice Resistance 1,0.0.0
WideRange 1,Paralysis Attack 1,0.0.0
Steadiness 2,Sleep Resistance 1,0.0.0
Master Mounter 1,Tremor Resistance 1,2.0.0
NormalRapid Up 2,Stamina Thief 2,0.0.0
Rapid Morph 1,Bombardier 2,1.1.1
Fortify 1,Reload Speed 1,1.1.0
Speed Sharpening 1,Stun Resistance 1,2.0.0
Rapid Morph 2,Ice Attack 2,2.0.0
Spare Shot 2,NULL,0.0.0
Evade Extender 1,WideRange 1,1.0.0
Ice Attack 3,Evade Extender 1,2.1.0
Fire Attack 2,Hellfire Cloak 1,1.0.0
Flinch Free 2,Horn Maestro 1,3.0.0
Recoil Down 1,Item Prolonger 1,1.0.0
Windproof 2,Poison Attack 1,1.0.0
Water Resistance 1,Blight Resistance 1,1.1.1
Rapid Fire Up 1,NULL,0.0.0
Hunger Resistance 1,Poison Attack 1,1.1.0
Speed Eating 1,Reload Speed 2,1.1.0
Defense Boost 2,Water Resistance 2,2.0.0
Special Ammo Boost 2,NULL,0.0.0
Recoil Down 2,Latent Power 1,1.1.0
Earplugs 1,Steadiness 1,2.1.0
WideRange 3,Defense Boost 1,0.0.0
Punishing Draw 2,Stamina Surge 1,0.0.0
Stun Resistance 2,Leap of Faith 1,2.0.0
Sleep Resistance 1,Ice Attack 2,1.0.0
Recovery Up 2,Weakness Exploit 1,0.0.0
Blast Resistance 2,Blast Attack 1,1.0.0
Partbreaker 2,Flinch Free 1,0.0.0
Resentment 1,NULL,0.0.0
Botanist 1,Divine Blessing 2,1.0.0
Speed Eating 2,Windproof 1,3.1.0
